story_num	sentence_num	sentence	word_num_in_sentence	word_num_in_story
1	4	which	14	135
1	4	seems	15	136
1	4	puzzling	16	137
1	4	at	17	138
1	4	first,	18	139
1	4	but	19	140
1	4	the	20	141
1	4	reason	21	142
1	4	for	22	143
1	4	this	23	144
1	4	symbol	24	145
1	4	is	25	146
1	4	a	26	147
1	4	matter	27	148
1	4	of	28	149
1	4	legend.	29	150
1	5	There	1	151
1	5	was	2	152
1	5	once,	3	153
1	5	legend	4	154
1	5	has	5	155
1	5	it,	6	156
1	5	a	7	157
1	5	fearsome	8	158
1	5	boar,	9	159
1	5	which	10	160
1	5	lived	11	161
1	5	in	12	162
1	5	a	13	163
1	5	wood	14	164
1	5	located	15	165
1	5	just	16	166
1	5	outside	17	167
1	5	the	18	168
1	5	manor	19	169
1	5	of	20	170
1	5	Bradford.	21	171
1	6	A	1	172
1	6	source	2	173
1	6	of	3	174
1	6	great	4	175
1	6	trouble	5	176
1	6	to	6	177
1	6	the	7	178
1	6	local	8	179
1	6	folk	9	180
1	6	the	10	181
1	6	boar	11	182
1	6	was,	12	183
1	6	bringing	13	184
1	6	terror	14	185
1	6	to	15	186
1	6	the	16	187
1	6	peaceful	17	188
1	6	flocks	18	189
1	6	and	19	190
1	6	ravaging	20	191
1	6	the	21	192
1	6	countryside	22	193
1	6	around.	23	194
1	7	Even	1	195
1	7	worse,	2	196
1	7	however,	3	197
1	7	the	4	198
1	7	boar	5	199
1	7	most	6	200
1	7	liked	7	201
1	7	to	8	202
1	7	go	9	203
1	7	to	10	204
1	7	the	11	205
1	7	well	12	206
1	7	that	13	207
1	7	was	14	208
1	7	in	15	209
1	7	the	16	210
1	7	wood	17	211
1	7	and	18	212
1	7	drink	19	213
1	7	its	20	214
1	7	fresh	21	215
1	7	water,	22	216
1	7	so	23	217
1	7	that	24	218
1	7	the	25	219
1	7	people	26	220
1	7	of	27	221
1	7	Bradford	28	222
1	7	had	29	223
1	7	second	30	224
1	7	thoughts	31	225
1	7	about	32	226
1	7	visiting	33	227
1	7	the	34	228
1	7	well.	35	229
1	8	That	1	230
1	8	the	2	231
1	8	people	3	232
1	8	of	4	233
1	8	Bradford	5	234
1	8	bore	6	235
1	8	the	7	236
1	8	brunt	8	237
1	8	of	9	238
1	8	the	10	239
1	8	beast's	11	240
1	8	ferocity	12	241
1	8	was	13	242
1	8	unfair	14	243
1	8	in	15	244
1	8	the	16	245
1	8	eyes	17	246
1	8	of	18	247
1	8	the	19	248
1	8	people	20	249
1	8	of	21	250
1	8	the	22	251
1	8	region.	23	252
1	9	Eventually,	1	253
1	9	the	2	254
1	9	issue	3	255
1	9	reached	4	256
1	9	the	5	257
1	9	ears	6	258
1	9	of	7	259
1	9	the	8	260
1	9	kindly	9	261
1	9	Lord	10	262
1	9	of	11	263
1	9	the	12	264
1	9	Manor	13	265
1	9	who	14	266
1	9	the	15	267
1	9	people	16	268
1	9	had	17	269
1	9	often	18	270
1	9	asked	19	271
1	9	for	20	272
1	9	help.	21	273
1	10	The	1	274
1	10	Lord	2	275
1	10	saw	3	276
1	10	the	4	277
1	10	severity	5	278
1	10	of	6	279
1	10	the	7	280
1	10	problem	8	281
1	10	the	9	282
1	10	people	10	283
1	10	faced	11	284
1	10	and	12	285
1	10	suggested	13	286
1	10	a	14	287
1	10	contest	15	288
1	10	could	16	289
1	10	solve	17	290
1	10	the	18	291
1	10	problem.	19	292
1	11	He	1	293
1	11	said	2	294
1	11	that	3	295
1	11	whoever	4	296
1	11	could	5	297
1	11	kill	6	298
1	11	the	7	299
1	11	boar	8	300
1	11	and	9	301
1	11	bring	10	302
1	11	as	11	303
1	11	proof	12	304
1	11	its	13	305
1	11	head	14	306
1	11	to	15	307
1	11	the	16	308
1	11	Manor	17	309
1	11	House	18	310
1	11	would	19	311
1	11	be	20	312
1	11	rewarded	21	313
1	11	with	22	314
1	11	land	23	315
1	11	and	24	316
1	11	fame.	25	317
1	12	It	1	318
1	12	was	2	319
1	12	the	3	320
1	12	people	4	321
1	12	of	5	322
1	12	Bradford	6	323
1	12	and	7	324
1	12	the	8	325
1	12	people	9	326
1	12	who	10	327
1	12	knew	11	328
1	12	them	12	329
1	12	who	13	330
1	12	rejoiced	14	331
1	12	at	15	332
1	12	this	16	333
1	12	proclamation	17	334
1	12	but	18	335
1	12	one	19	336
1	12	question	20	337
1	12	remained:	21	338
1	12	who	22	339
1	12	would	23	340
1	12	kill	24	341
1	12	the	25	342
1	12	boar?	26	343
1	13	By	1	344
1	13	the	2	345
1	13	handsome	3	346
1	13	reward	4	347
1	13	many	5	348
1	13	felt	6	349
1	13	tempted,	7	350
1	13	but	8	351
1	13	the	9	352
1	13	thought	10	353
1	13	of	11	354
1	13	the	12	355
1	13	boar	13	356
1	13	with	14	357
1	13	its	15	358
1	13	deadly	16	359
1	13	tusks	17	360
1	13	and	18	361
1	13	face	19	362
1	13	like	20	363
1	13	thunder	21	364
1	13	soon	22	365
1	13	put	23	366
1	13	an	24	367
1	13	end	25	368
1	13	to	26	369
1	13	their	27	370
1	13	ambitions.	28	371
1	14	However,	1	372
1	14	there	2	373
1	14	was	3	374
1	14	one	4	375
1	14	huntsman,	5	376
1	14	who	6	377
1	14	was	7	378
1	14	still	8	379
1	14	wet	9	380
1	14	behind	10	381
1	14	the	11	382
1	14	ears,	12	383
1	14	who	13	384
1	14	decided	14	385
1	14	the	15	386
1	14	prize	16	387
1	14	was	17	388
1	14	worth	18	389
1	14	a	19	390
1	14	shot,	20	391
1	14	in	21	392
1	14	spite	22	393
1	14	of	23	394
1	14	the	24	395
1	14	boar's	25	396
1	14	reputation.	26	397
1	15	The	1	398
1	15	huntsman	2	399
1	15	discovered	3	400
1	15	the	4	401
1	15	boar	5	402
1	15	preferred	6	403
1	15	to	7	404
1	15	come	8	405
1	15	out	9	406
1	15	in	10	407
1	15	the	11	408
1	15	middle	12	409
1	15	of	13	410
1	15	the	14	411
1	15	day.	15	412
1	16	So	1	413
1	16	he	2	414
1	16	went	3	415
1	16	to	4	416
1	16	the	5	417
1	16	wood	6	418
1	16	by	7	419
1	16	the	8	420
1	16	well	9	421
1	16	with	10	422
1	16	his	11	423
1	16	good	12	424
1	16	bow,	13	425
1	16	to	14	426
1	16	bide	15	427
1	16	his	16	428
1	16	time.	17	429
1	17	Around	1	430
1	17	noontime,	2	431
1	17	the	3	432
1	17	boar,	4	433
1	17	feared	5	434
1	17	by	6	435
1	17	the	7	436
1	17	locals,	8	437
1	17	came	9	438
1	17	out,	10	439
1	17	as	11	440
1	17	slow	12	441
1	17	as	13	442
1	17	a	14	443
1	17	snail,	15	444
1	17	from	16	445
1	17	among	17	446
1	17	the	18	447
1	17	trees,	19	448
1	17	just	20	449
1	17	as	21	450
1	17	the	22	451
1	17	huntsman	23	452
1	17	had	24	453
1	17	predicted.	25	454
1	18	The	1	455
1	18	huntsman	2	456
1	18	leaped	3	457
1	18	from	4	458
1	18	his	5	459
1	18	hiding	6	460
1	18	place	7	461
1	18	and	8	462
1	18	through	9	463
1	18	the	10	464
1	18	heart	11	465
1	18	with	12	466
1	18	his	13	467
1	18	fine	14	468
1	18	arrows	15	469
1	18	shot	16	470
1	18	the	17	471
1	18	boar.	18	472
1	19	Now	1	473
1	19	the	2	474
1	19	problem	3	475
1	19	was	4	476
1	19	no	5	477
1	19	longer	6	478
1	19	to	7	479
1	19	kill	8	480
1	19	the	9	481
1	19	boar.	10	482
1	20	It	1	483
1	20	was	2	484
1	20	to	3	485
1	20	find	4	486
1	20	a	5	487
1	20	way	6	488
1	20	to	7	489
1	20	carry	8	490
1	20	the	9	491
1	20	boar	10	492
1	20	back.	11	493
1	21	The	1	494
1	21	head	2	495
1	21	was	3	496
1	21	too	4	497
1	21	heavy	5	498
1	21	for	6	499
1	21	the	7	500
1	21	little	8	501
1	21	huntsman	9	502
1	21	to	10	503
1	21	carry	11	504
1	21	back	12	505
1	21	to	13	506
1	21	the	14	507
1	21	Manor	15	508
1	21	House,	16	509
1	21	but	17	510
1	21	the	18	511
1	21	huntsman,	19	512
1	21	who	20	513
1	21	was	21	514
1	21	as	22	515
1	21	quick-witted	23	516
1	21	and	24	517
1	21	cunning	25	518
1	21	as	26	519
1	21	ever,	27	520
1	21	asked	28	521
1	21	himself,	29	522
1	21	'What	30	523
1	21	else	31	524
1	21	can	32	525
1	21	I	33	526
1	21	do	34	527
1	21	to	35	528
1	21	prove	36	529
1	21	I	37	530
1	21	killed	38	531
1	21	the	39	532
1	21	boar?'	40	533
1	22	The	1	534
1	22	next	2	535
1	22	instance	3	536
1	22	he	4	537
1	22	opened	5	538
1	22	the	6	539
1	22	boar's	7	540
1	22	mouth	8	541
1	22	and	9	542
1	22	cut	10	543
1	22	out	11	544
1	22	its	12	545
1	22	tongue,	13	546
1	22	taking	14	547
1	22	that	15	548
1	22	as	16	549
1	22	proof	17	550
1	22	for	18	551
1	22	the	19	552
1	22	Lord.	20	553
1	23	He	1	554
1	23	set	2	555
1	23	out	3	556
1	23	for	4	557
1	23	the	5	558
1	23	Manor	6	559
1	23	House	7	560
1	23	as	8	561
1	23	quickly	9	562
1	23	as	10	563
1	23	he	11	564
1	23	could	12	565
1	23	and	13	566
1	23	he	14	567
1	23	had	15	568
1	23	only	16	569
1	23	been	17	570
1	23	gone	18	571
1	23	a	19	572
1	23	few	20	573
1	23	minutes	21	574
1	23	when	22	575
1	23	a	23	576
1	23	second	24	577
1	23	huntsman,	25	578
1	23	not	26	579
1	23	so	27	580
1	23	bold	28	581
1	23	as	29	582
1	23	the	30	583
1	23	first	31	584
1	23	but	32	585
1	23	a	33	586
1	23	little	34	587
1	23	more	35	588
1	23	cunning,	36	589
1	23	came	37	590
1	23	on	38	591
1	23	the	39	592
1	23	scene.	40	593
1	24	Seeing	1	594
1	24	the	2	595
1	24	slain	3	596
1	24	carcass	4	597
1	24	of	5	598
1	24	the	6	599
1	24	boar,	7	600
1	24	the	8	601
1	24	huntsman	9	602
1	24	rejoiced	10	603
1	24	in	11	604
1	24	his	12	605
1	24	good	13	606
1	24	fortune.	14	607
1	25	The	1	608
1	25	second	2	609
1	25	huntsman	3	610
1	25	knew	4	611
1	25	a	5	612
1	25	shortcut	6	613
1	25	to	7	614
1	25	the	8	615
1	25	Manor	9	616
1	25	House	10	617
1	25	was	11	618
1	25	just	12	619
1	25	around	13	620
1	25	the	14	621
1	25	nearby	15	622
1	25	pond,	16	623
1	25	and,	17	624
1	25	being	18	625
1	25	a	19	626
1	25	bigger	20	627
1	25	man	21	628
1	25	than	22	629
1	25	the	23	630
1	25	first,	24	631
1	25	was	25	632
1	25	able	26	633
1	25	to	27	634
1	25	pick	28	635
1	25	up	29	636
1	25	the	30	637
1	25	boar's	31	638
1	25	head	32	639
1	25	and	33	640
1	25	carry	34	641
1	25	it	35	642
1	25	through	36	643
1	25	the	37	644
1	25	wood	38	645
1	25	towards	39	646
1	25	the	40	647
1	25	prize	41	648
1	25	that	42	649
1	25	awaited	43	650
1	25	him.	44	651
1	26	The	1	652
1	26	Lord	2	653
1	26	of	3	654
1	26	the	4	655
1	26	Manor	5	656
1	26	was	6	657
1	26	seated	7	658
1	26	in	8	659
1	26	his	9	660
1	26	hall	10	661
1	26	when	11	662
1	26	the	12	663
1	26	second	13	664
1	26	huntsman	14	665
1	26	burst	15	666
1	26	through	16	667
1	26	the	17	668
1	26	door	18	669
1	26	and	19	670
1	26	began	20	671
1	26	to	21	672
1	26	spin	22	673
1	26	a	23	674
1	26	line.	24	675
1	27	'The	1	676
1	27	woes	2	677
1	27	of	3	678
1	27	Bradford	4	679
1	27	are	5	680
1	27	ended!'	6	681
1	27	he	7	682
1	27	announced.	8	683
1	28	'With	1	684
1	28	my	2	685
1	28	own	3	686
1	28	hand	4	687
1	28	I	5	688
1	28	have	6	689
1	28	slain	7	690
1	28	the	8	691
1	28	boar!'	9	692
1	29	And,	1	693
1	29	with	2	694
1	29	that,	3	695
1	29	at	4	696
1	29	the	5	697
1	29	feet	6	698
1	29	of	7	699
1	29	his	8	700
1	29	lord	9	701
1	29	he	10	702
1	29	dropped	11	703
1	29	the	12	704
1	29	boar's	13	705
1	29	enormous	14	706
1	29	head.	15	707
1	30	'Then	1	708
1	30	you	2	709
1	30	will	3	710
1	30	be	4	711
1	30	rewarded,	5	712
1	30	as	6	713
1	30	I	7	714
1	30	promised.'	8	715
1	31	'But	1	716
1	31	first,	2	717
1	31	let	3	718
1	31	me	4	719
1	31	examine	5	720
1	31	the	6	721
1	31	head	7	722
1	31	of	8	723
1	31	this	9	724
1	31	monster,'	10	725
1	31	said	11	726
1	31	the	12	727
1	31	Lord	13	728
1	31	of	14	729
1	31	the	15	730
1	31	Manor.	16	731
1	32	To	1	732
1	32	not	2	733
1	32	examine	3	734
1	32	the	4	735
1	32	head	5	736
1	32	in	6	737
1	32	advance	7	738
1	32	had	8	739
1	32	not	9	740
1	32	been	10	741
1	32	very	11	742
1	32	clever	12	743
1	32	on	13	744
1	32	the	14	745
1	32	part	15	746
1	32	of	16	747
1	32	the	17	748
1	32	huntsman.	18	749
1	33	Right	1	750
1	33	away,	2	751
1	33	the	3	752
1	33	Lord	4	753
1	33	noticed	5	754
1	33	the	6	755
1	33	tongue	7	756
1	33	of	8	757
1	33	the	9	758
1	33	boar	10	759
1	33	was	11	760
1	33	missing	12	761
1	33	and	13	762
1	33	exclaimed,	14	763
1	33	'What	15	764
1	33	is	16	765
1	33	this?	17	766
1	33	A	18	767
1	33	boar	19	768
1	33	with	20	769
1	33	no	21	770
1	33	tongue?'	22	771
1	34	He	1	772
1	34	looked	2	773
1	34	at	3	774
1	34	the	4	775
1	34	huntsman,	5	776
1	34	dubiously.	6	777
1	35	'How	1	778
1	35	come	2	779
1	35	this	3	780
1	35	creature	4	781
1	35	has	5	782
1	35	no	6	783
1	35	tongue?'	7	784
1	35	he	8	785
1	35	demanded.	9	786
1	36	All	1	787
1	36	eyes	2	788
1	36	were	3	789
1	36	on	4	790
1	36	the	5	791
1	36	huntsman.	6	792
1	37	The	1	793
1	37	huntsman	2	794
1	37	questioned	3	795
1	37	by	4	796
1	37	the	5	797
1	37	Lord	6	798
1	37	replied,	7	799
1	37	'I	8	800
1	37	cannot	9	801
1	37	say,	10	802
1	37	my	11	803
1	37	Lord.'	12	804
1	38	He	1	805
1	38	was	2	806
1	38	suddenly	3	807
1	38	realizing	4	808
1	38	his	5	809
1	38	tricky	6	810
1	38	situation	7	811
1	38	could	8	812
1	38	end	9	813
1	38	badly	10	814
1	38	for	11	815
1	38	him.	12	816
1	39	Through	1	817
1	39	the	2	818
1	39	door	3	819
1	39	at	4	820
1	39	this	5	821
1	39	moment,	6	822
1	39	the	7	823
1	39	first	8	824
1	39	huntsman	9	825
1	39	burst.	10	826
1	40	'The	1	827
1	40	woes	2	828
1	40	of	3	829
1	40	Bradford	4	830
1	40	are	5	831
1	40	ended!'	6	832
1	40	he	7	833
1	40	cried.	8	834
1	41	'I	1	835
1	41	have	2	836
1	41	slain	3	837
1	41	the	4	838
1	41	boar	5	839
1	41	the	6	840
1	41	people	7	841
1	41	of	8	842
1	41	Bradford	9	843
1	41	dreaded!'	10	844
1	42	All	1	845
1	42	eyes	2	846
1	42	turned	3	847
1	42	to	4	848
1	42	the	5	849
1	42	man	6	850
1	42	who	7	851
1	42	now	8	852
1	42	stood	9	853
1	42	in	10	854
1	42	the	11	855
1	42	doorway.	12	856
1	43	'The	1	857
1	43	reward	2	858
1	43	is	3	859
1	43	already	4	860
1	43	given,'	5	861
1	43	said	6	862
1	43	the	7	863
1	43	Lord	8	864
1	43	of	9	865
1	43	the	10	866
1	43	Manor.	11	867
1	44	'The	1	868
1	44	man	2	869
1	44	here	3	870
1	44	has	4	871
1	44	brought	5	872
1	44	to	6	873
1	44	me	7	874
1	44	the	8	875
1	44	boar's	9	876
1	44	head.'	10	877
1	45	'Then	1	878
1	45	where	2	879
1	45	is	3	880
1	45	its	4	881
1	45	tongue?'	5	882
1	45	the	6	883
1	45	first	7	884
1	45	huntsman	8	885
1	45	replied.	9	886
1	46	And,	1	887
1	46	so	2	888
1	46	saying,	3	889
1	46	he	4	890
1	46	drew	5	891
1	46	out	6	892
1	46	the	7	893
1	46	boar's	8	894
1	46	tongue	9	895
1	46	he	10	896
1	46	had	11	897
1	46	put	12	898
1	46	in	13	899
1	46	his	14	900
1	46	hunting	15	901
1	46	pouch	16	902
1	46	and	17	903
1	46	related	18	904
1	46	how	19	905
1	46	he	20	906
1	46	had	21	907
1	46	ambushed	22	908
1	46	the	23	909
1	46	creature	24	910
1	46	in	25	911
1	46	the	26	912
1	46	wood	27	913
1	46	and	28	914
1	46	cut	29	915
1	46	out	30	916
1	46	its	31	917
1	46	tongue	32	918
1	46	as	33	919
1	46	proof	34	920
1	46	of	35	921
1	46	his	36	922
1	46	victory.	37	923
1	47	Listening	1	924
1	47	to	2	925
1	47	the	3	926
1	47	tale,	4	927
1	47	the	5	928
1	47	Lord	6	929
1	47	of	7	930
1	47	the	8	931
1	47	Manor	9	932
1	47	tried	10	933
1	47	to	11	934
1	47	discern	12	935
1	47	which	13	936
1	47	huntsman	14	937
1	47	was	15	938
1	47	telling	16	939
1	47	him	17	940
1	47	the	18	941
1	47	truth	19	942
1	47	and	20	943
1	47	what	21	944
1	47	the	22	945
1	47	two	23	946
1	47	huntsmen	24	947
1	47	were	25	948
1	47	thinking	26	949
1	47	as	27	950
1	47	they	28	951
1	47	waited	29	952
1	47	for	30	953
1	47	him	31	954
1	47	to	32	955
1	47	make	33	956
1	47	a	34	957
1	47	decision.	35	958
1	48	Almost	1	959
1	48	instantly,	2	960
1	48	the	3	961
1	48	Lord	4	962
1	48	saw	5	963
1	48	that	6	964
1	48	the	7	965
1	48	second	8	966
1	48	huntsman	9	967
1	48	had	10	968
1	48	fed	11	969
1	48	him	12	970
1	48	a	13	971
1	48	pack	14	972
1	48	of	15	973
1	48	lies	16	974
1	48	and	17	975
1	48	it	18	976
1	48	was	19	977
1	48	the	20	978
1	48	first	21	979
1	48	huntsman	22	980
1	48	who	23	981
1	48	was	24	982
1	48	the	25	983
1	48	true	26	984
1	48	savior	27	985
1	48	of	28	986
1	48	Bradford.	29	987
1	49	The	1	988
1	49	Lord	2	989
1	49	believed	3	990
1	49	the	4	991
1	49	second	5	992
1	49	huntsman	6	993
1	49	had	7	994
1	49	tried	8	995
1	49	to	9	996
1	49	steal	10	997
1	49	the	11	998
1	49	first	12	999
1	49	huntsman's	13	1000
1	49	prize	14	1001
1	49	and	15	1002
1	49	so	16	1003
1	49	proclaimed	17	1004
1	49	the	18	1005
1	49	first	19	1006
1	49	huntsman	20	1007
1	49	the	21	1008
1	49	true	22	1009
1	49	victor.	23	1010
1	50	The	1	1011
1	50	Lord	2	1012
1	50	wondered	3	1013
1	50	for	4	1014
1	50	a	5	1015
1	50	moment	6	1016
1	50	why	7	1017
1	50	he	8	1018
1	50	always	9	1019
1	50	encountered	10	1020
1	50	so	11	1021
1	50	much	12	1022
1	50	chicanery	13	1023
1	50	in	14	1024
1	50	his	15	1025
1	50	everyday	16	1026
1	50	interactions.	17	1027
1	51	The	1	1028
1	51	huntsman	2	1029
1	51	who	3	1030
1	51	had	4	1031
1	51	earned	5	1032
1	51	his	6	1033
1	51	prize	7	1034
1	51	fair	8	1035
1	51	and	9	1036
1	51	square	10	1037
1	51	received	11	1038
1	51	as	12	1039
1	51	his	13	1040
1	51	reward	14	1041
1	51	a	15	1042
1	51	piece	16	1043
1	51	of	17	1044
1	51	land	18	1045
1	51	just	19	1046
1	51	outside	20	1047
1	51	the	21	1048
1	51	town,	22	1049
1	51	known	23	1050
1	51	thereafter	24	1051
1	51	as	25	1052
1	51	Hunt	26	1053
1	51	Yard.	27	1054
1	52	His	1	1055
1	52	fame	2	1056
1	52	was	3	1057
1	52	indeed	4	1058
1	52	assured,	5	1059
1	52	but	6	1060
1	52	it	7	1061
1	52	was	8	1062
1	52	not	9	1063
1	52	nearly	10	1064
1	52	as	11	1065
1	52	lasting	12	1066
1	52	as	13	1067
1	52	that	14	1068
1	52	of	15	1069
1	52	the	16	1070
1	52	fearsome	17	1071
1	52	Bradford	18	1072
1	52	Boar.	19	1073
2	1	A	1	1
2	1	clear	2	2
2	1	and	3	3
2	1	joyous	4	4
2	1	day	5	5
2	1	it	6	6
2	1	was	7	7
2	1	and	8	8
2	1	out	9	9
2	1	on	10	10
2	1	the	11	11
2	1	wide	12	12
2	1	open	13	13
2	1	sea,	14	14
2	1	thousands	15	15
2	1	upon	16	16
2	1	thousands	17	17
2	1	of	18	18
2	1	sparkling	19	19
2	1	water	20	20
2	1	drops,	21	21
2	1	excited	22	22
2	1	by	23	23
2	1	getting	24	24
2	1	to	25	25
2	1	play	26	26
2	1	in	27	27
2	1	the	28	28
2	1	ocean,	29	29
2	1	danced	30	30
2	1	all	31	31
2	1	around.	32	32
2	2	One	1	33
2	2	of	2	34
2	2	these	3	35
2	2	was	4	36
2	2	a	5	37
2	2	merry	6	38
2	2	little	7	39
2	2	fellow	8	40
2	2	named	9	41
2	2	Aqua,	10	42
2	2	who	11	43
2	2	danced	12	44
2	2	on	13	45
2	2	the	14	46
2	2	silver	15	47
2	2	backs	16	48
2	2	of	17	49
2	2	the	18	50
2	2	fishes	19	51
2	2	as	20	52
2	2	they	21	53
2	2	plunged	22	54
2	2	up	23	55
2	2	and	24	56
2	2	down	25	57
2	2	in	26	58
2	2	the	27	59
2	2	waves,	28	60
2	2	and,	29	61
2	2	no	30	62
2	2	matter	31	63
2	2	how	32	64
2	2	high	33	65
2	2	he	34	66
2	2	sprung,	35	67
2	2	he	36	68
2	2	always	37	69
2	2	came	38	70
2	2	down	39	71
2	2	again	40	72
2	2	into	41	73
2	2	his	42	74
2	2	mother's	43	75
2	2	lap.	44	76
2	3	His	1	77
2	3	mother,	2	78
2	3	you	3	79
2	3	know,	4	80
2	3	was	5	81
2	3	the	6	82
2	3	ocean,	7	83
2	3	and	8	84
2	3	very	9	85
2	3	beautiful	10	86
2	3	she	11	87
2	3	looked	12	88
2	3	that	13	89
2	3	summer	14	90
2	3	day	15	91
2	3	in	16	92
2	3	her	17	93
2	3	dark	18	94
2	3	blue	19	95
2	3	dress	20	96
2	3	and	21	97
2	3	white	22	98
2	3	ruffles.	23	99
2	4	By	1	100
2	4	and	2	101
2	4	by,	3	102
2	4	the	4	103
2	4	happy	5	104
2	4	water	6	105
2	4	drop	7	106
2	4	tired	8	107
2	4	of	9	108
2	4	his	10	109
2	4	play,	11	110
2	4	and	12	111
2	4	looking	13	112
2	4	up	14	113
2	4	to	15	114
2	4	the	16	115
2	4	clear	17	116
2	4	sky	18	117
2	4	above	19	118
2	4	him,	20	119
2	4	thought	21	120
2	4	he	22	121
2	4	would	23	122
2	4	like	24	123
2	4	to	25	124
2	4	have	26	125
2	4	a	27	126
2	4	sail	28	127
2	4	on	29	128
2	4	one	30	129
2	4	of	31	130
2	4	the	32	131
2	4	white,	33	132
2	4	marshmallow-like	34	133
2	4	clouds,	35	134
2	4	instead	36	135
2	4	of	37	136
2	4	spending	38	137
2	4	his	39	138
2	4	whole	40	139
2	4	life	41	140
2	4	in	42	141
2	4	the	43	142
2	4	ocean.	44	143
2	5	Of	1	144
2	5	the	2	145
2	5	sky,	3	146
2	5	little	4	147
2	5	Aqua	5	148
2	5	had	6	149
2	5	always	7	150
2	5	been	8	151
2	5	afraid,	9	152
2	5	but	10	153
2	5	he	11	154
2	5	decided	12	155
2	5	to	13	156
2	5	finally	14	157
2	5	face	15	158
2	5	his	16	159
2	5	demons	17	160
2	5	and	18	161
2	5	suggested	19	162
2	5	a	20	163
2	5	solution	21	164
2	5	involving	22	165
2	5	the	23	166
2	5	sun	24	167
2	5	carrying	25	168
2	5	him	26	169
2	5	up	27	170
2	5	to	28	171
2	5	the	29	172
2	5	sky	30	173
2	5	would	31	174
2	5	be	32	175
2	5	ideal.	33	176
2	6	The	1	177
2	6	sun	2	178
2	6	understood	3	179
2	6	Aqua's	4	180
2	6	request	5	181
2	6	came	6	182
2	6	from	7	183
2	6	his	8	184
2	6	heart,	9	185
2	6	so	10	186
2	6	he	11	187
2	6	acquiesced	12	188
2	6	and	13	189
2	6	also	14	190
2	6	took	15	191
2	6	ever	16	192
2	6	so	17	193
2	6	many	18	194
2	6	other	19	195
2	6	drops,	20	196
2	6	so	21	197
2	6	that	22	198
2	6	Aqua	23	199
2	6	might	24	200
2	6	not	25	201
2	6	be	26	202
2	6	lonesome	27	203
2	6	on	28	204
2	6	the	29	205
2	6	way.	30	206
2	7	It	1	207
2	7	was	2	208
2	7	only	3	209
2	7	the	4	210
2	7	sun	5	211
2	7	that	6	212
2	7	knew	7	213
2	7	this,	8	214
2	7	however,	9	215
2	7	for	10	216
2	7	all	11	217
2	7	the	12	218
2	7	other	13	219
2	7	drops	14	220
2	7	had	15	221
2	7	been	16	222
